Term,Status,Section,Title,Dates,Location,InstructionalMethods,Meetings,Instructors,Availability,Credits,Comments
Spring 2026,Open,MATH-181-300,Calculus I,1/26/2026-5/16/2026,Scheduled Zoom,Online,"T, Th 2:00-3:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            WEB CANVAS (ONL)",Dr. Ahmed Benkhalti,6 / 24 / 0,4.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-181-301,Calculus I,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
                        
                             (ONL)",Dr. Caroline E. Torcaso,5 / 24 / 0,4.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-181-302,Calculus I,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
                        
                             (ONL)",Dr. Sunhee Kim,7 / 24 / 0,4.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-181-H601,Calculus I HN,1/26/2026-5/16/2026,Main Campus,"Lecture
                            
                                Online Discussion","M, W, F 8:00-9:20 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 117 (LEC)
                        
                            
                        
                            1/26/2026 - 5/16/2026
                        
                             (ONDIS)","Mr. Roderico De Armas 
                            
                        
                            
                            
                            Mr. A. Vaughn Winchell",12 / 24 / 0,4.00000 Credits,"This is an Hono
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-182-001,Calculus II,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W, F 8:00-9:20 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 116 (LEC)",Dr. Jane H. Wenstrom,5 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-182-002,Calculus II,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W, F 9:30-10:50 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 116 (LEC)",Dr. Jane H. Wenstrom,1 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-182-003,Calculus II,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 10:00-11:50 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 116 (LEC)",Mr. John C. Esenwa,16 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-182-004,Calculus II,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 12:00-1:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 116 (LEC)",Mr. John C. Esenwa,16 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,MATH-182-300,Calculus II,1/26/2026-5/16/2026,Scheduled Zoom,Online,"T, Th 8:00-9:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            WEB CANVAS (ONL)",Mr. Rolandrias Bradford,1 / 24 / 0,4.00000 Credits,"This is an onli
                                 ... 
                                
                                more"
Spring 2026,Open,MATH-182-301,Calculus II,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
(ONL)",Mr. Guy G. Bunyard,6 / 24 / 0,4.00000 Credits,This is an onli ... more
Spring 2026,Open,MATH-182-302,Calculus II,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
(ONL)",Dr. Ahmed Benkhalti,3 / 24 / 0,4.00000 Credits,This is an onli ... more
Spring 2026,Open,MATH-182-H002,Calculus II HN,1/26/2026-5/16/2026,Main Campus,"Lecture

Discussion","M, W, F 9:30-10:50 AM
1/26/2026 - 5/16/2026
KC 116 (LEC)
F 11:00-11:50 AM
1/26/2026 - 5/16/2026
KC 116 (DIS)",Dr. Jane H. Wenstrom,1 / 24 / 0,4.00000 Credits,This is an Hono ... more
Spring 2026,Open,MATH-199-300,Introduction to Matlab,1/26/2026-5/16/2026,Scheduled Zoom,Online,"Th 9:00-9:50 AM
1/26/2026 - 5/16/2026
WEB CANVAS (ONL)",Dr. Kenny A. Diaz Eguigure,18 / 24 / 0,1.00000 Credits,This is an onli ... more
Spring 2026,Open,MATH-220-001,Discrete Structures,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 2:00-3:15 PM
1/26/2026 - 5/16/2026
KC 335 (LEC)",Dr. Carol L. Howald,1 / 25 / 0,3.00000 Credits,
Spring 2026,Open,MATH-220-300,Discrete Structures,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
(ONL)",Ms. Debra A. Hensgen,1 / 24 / 0,3.00000 Credits,This is an onli ... more
Spring 2026,Open,MATH-240-001,Calculus III,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W, F 8:00-9:20 AM
1/26/2026 - 5/16/2026
KC 211 (LEC)","Mr. Louis W. Fritz, V",16 / 24 / 0,4.00000 Credits,
Spring 2026,Open,MATH-240-002,Calculus III,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 6:00-7:50 PM
1/26/2026 - 5/16/2026
KC 211 (LEC)",Dr. Ahmed Benkhalti,2 / 24 / 0,4.00000 Credits,
Spring 2026,Open,MATH-240-H001,Calculus III HN,1/26/2026-5/16/2026,Main Campus,"Lecture

Discussion","M, W, F 8:00-9:20 AM
1/26/2026 - 5/16/2026
KC 211 (LEC)
F 9:30-10:20 AM
1/26/2026 - 5/16/2026
KC 211 (DIS)","Mr. Louis W. Fritz, V",16 / 24 / 0,4.00000 Credits,This is an Hono ... more
Spring 2026,Open,MATH-250-001,Linear Algebra,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 10:00-11:50 AM
1/26/2026 - 5/16/2026
KC 212 (LEC)",Dr. Sunhee Kim,6 / 24 / 0,4.00000 Credits,
Spring 2026,Open,MATH-250-002,Linear Algebra,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 12:00-1:50 PM
1/26/2026 - 5/16/2026
KC 212 (LEC)",Dr. Sunhee Kim,6 / 24 / 0,4.00000 Credits,
Spring 2026,Open,MATH-250-301,Linear Algebra,1/26/2026-5/16/2026,Scheduled Zoom,Online,"M, W 6:00-7:50 PM
1/26/2026 - 5/16/2026
WEB CANVAS (ONL)",Mr. Armando J. Espejo,4 / 24 / 0,4.00000 Credits,This is an onli ... more
Spring 2026,Open,MATH-250-303,Linear Algebra,1/26/2026-5/16/2026,Scheduled Zoom,Online,"T, Th 6:00-7:50 PM
1/26/2026 - 5/16/2026
WEB CANVAS (ONL)",Mr. Armando J. Espejo,16 / 22 / 0,4.00000 Credits,
Spring 2026,Open,MATH-250-H301,Linear Algebra HN,1/26/2026-5/16/2026,Scheduled Zoom,"Online

Online Discussion","M, W 6:00-7:50 PM
1/26/2026 - 5/16/2026
WEB CANVAS (ONL)
1/26/2026 - 5/16/2026
(ONDIS)","Mr. Armando J. Espejo
Mr. Louis W. Fritz, V",4 / 24 / 0,4.00000 Credits,This is an onli ... more
Spring 2026,Open,MATH-250-H303,Linear Algebra HN,1/26/2026-5/16/2026,Scheduled Zoom,Online Discussion,"T, Th 6:00-7:50 PM
1/26/2026 - 5/16/2026
WEB CANVAS (ONDIS)","Mr. Louis W. Fritz, V",16 / 22 / 0,4.00000 Credits,This is an Hono ... more
Spring 2026,Open,MATH-250-H601,Linear Algebra HN,1/26/2026-5/16/2026,Main Campus,"Lecture

Online Discussion","M, W 10:00-11:50 AM
1/26/2026 - 5/16/2026
KC 212 (LEC)
1/26/2026 - 5/16/2026
(ONDIS)","Dr. Sunhee Kim
Mr. Louis W. Fritz, V",6 / 24 / 0,4.00000 Credits,This is an onli ... more
Spring 2026,Open,MATH-250-H602,Linear Algebra HN,1/26/2026-5/16/2026,Main Campus,"Lecture

Online Discussion","T, Th 12:00-1:50 PM
1/26/2026 - 5/16/2026
KC 212 (LEC)
1/26/2026 - 5/16/2026
(ONDIS)","Dr. Sunhee Kim
Mr. Louis W. Fritz, V",6 / 24 / 0,4.00000 Credits,This is an onli ... more
Spring 2026,Open,MATH-260-001,Differential Equations,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 8:00-9:15 AM
1/26/2026 - 5/16/2026
KC 118 (LEC)",Dr. Gabriel B. Ayine,2 / 24 / 0,3.00000 Credits,
Spring 2026,Open,MATH-260-300,Differential Equations,1/26/2026-5/16/2026,Scheduled Zoom,Online,"T, Th 8:00-9:15 PM
1/26/2026 - 5/16/2026
WEB CANVAS (ONL)","Dr. David E. Hess, Ph.D.",3 / 24 / 0,3.00000 Credits,This is an onli ... more
Spring 2026,Open,PHYS-101-001,Technical Physical Science,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 12:30-1:45 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 111 (LEC)",Pamela McCarville,3 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,PHYS-101-002,Technical Physical Science,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 9:30-10:45 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 303 (LEC)",Dr. Bharathi Subramaniasiva,1 / 24 / 0,4.00000 Credits,...
Spring 2026,Closed,PHYS-101-003,Technical Physical Science,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 12:30-1:45 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 109 (LEC)",Henderika van Huizen,0 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,PHYS-101-004,Tech Physical Sci,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 11:00 AM-12:15 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 111 (LEC)",Henderika van Huizen,4 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,PHYS-101-300,Technical Physical Science,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
                        
                             (ONL)",Pamela McCarville,4 / 24 / 0,4.00000 Credits,...
Spring 2026,Closed,PHYS-101-301,Technical Physical Science,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
                        
                             (ONL)",Dr. Bharathi Subramaniasiva,0 / 24 / 0,4.00000 Credits,...
Spring 2026,Closed,PHYS-101-302,Tech Physical Sci,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
                        
                             (ONL)",Dr. Bharathi Subramaniasiva,0 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,PHYS-101L-001,Technical Physical Science Lab,1/26/2026-5/16/2026,Main Campus,Lab,"W 9:00-11:50 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 154 (LAB)",Pamela McCarville,3 / 24 / 0,0.00000 Credits,...
Spring 2026,Open,PHYS-101L-002,Technical Physical Science Lab,1/26/2026-5/16/2026,Main Campus,Lab,"Th 11:00 AM-1:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 154 (LAB)",Dr. Bharathi Subramaniasiva,1 / 24 / 0,0.00000 Credits,...
Spring 2026,Closed,PHYS-101L-003,Technical Physical Science Lab,1/26/2026-5/16/2026,Main Campus,Lab,"Th 2:00-5:00 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 154 (LAB)",Henderika van Huizen,0 / 24 / 0,0.00000 Credits,...
Spring 2026,Open,PHYS-101L-004,Tech Physical Sci Lab,1/26/2026-5/16/2026,Main Campus,Lab,"W 1:00-3:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 154 (LAB)",Henderika van Huizen,4 / 24 / 0,0.00000 Credits,...
Spring 2026,Open,PHYS-101L-300,Technical Physical Science Lab,1/26/2026-5/16/2026,Online,Online Lab,"1/26/2026 - 5/16/2026
                        
                             (ONLAB)",Pamela McCarville,4 / 24 / 0,0.00000 Credits,...
Spring 2026,Closed,PHYS-101L-301,Technical Physical Science Lab,1/26/2026-5/16/2026,Online,Online Lab,"1/26/2026 - 5/16/2026
                        
                             (ONLAB)",Dr. Bharathi Subramaniasiva,0 / 24 / 0,0.00000 Credits,...
Spring 2026,Closed,PHYS-101L-302,Tech Physical Sci Lab,1/26/2026-5/16/2026,Online,Online Lab,"1/26/2026 - 5/16/2026
                        
                             (ONLAB)",Dr. Bharathi Subramaniasiva,0 / 24 / 0,0.00000 Credits,...
Spring 2026,Open,PHYS-103-001,Fund. of Physics I,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 11:00 AM-12:15 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 303 (LEC)",Rafael Mendonca,8 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,PHYS-103L-001,Fund of Physics I Lab,1/26/2026-5/16/2026,Main Campus,Lab,"F 9:00-11:50 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 150 (LAB)",Ms. Radha Venkat,8 / 24 / 0,0.00000 Credits,...
Spring 2026,Open,PHYS-104-001,Fund. of Physics II,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 9:30-10:45 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 401 (LEC)",Dr. Anna D. DeJong,13 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,PHYS-104L-001,Fund of Physics II Lab,1/26/2026-5/16/2026,Main Campus,Lab,"W 11:00 AM-1:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 153 (LAB)",Dr. Anna D. DeJong,13 / 24 / 0,0.00000 Credits,...
Spring 2026,Open,PHYS-106-001,Earth and Space Science,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 9:30-10:45 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 160 (LEC)",Ms. Beth Dushman,12 / 23 / 0,4.00000 Credits,"Kits with lab s
                                 ... 
                                
                                more"
Spring 2026,Closed,PHYS-106-002,Earth & Space Sci,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 9:30-10:45 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 160 (LEC)",Ms. Beth Dushman,0 / 1 / 0,4.00000 Credits,"Kits with lab s
                                 ... 
                                
                                more"
Spring 2026,Open,PHYS-106-300,Earth and Space Science,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
                        
                             (ONL)",Mr. Derek Raisanen,2 / 24 / 0,4.00000 Credits,"Kits with lab s
                                 ... 
                                
                                more"
Spring 2026,Open,PHYS-106L-001,Earth and Space Science Lab,1/26/2026-5/16/2026,Main Campus,Lab,"T 12:00-2:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 160 (LAB)",Ms. Beth Dushman,12 / 23 / 0,0.00000 Credits,...
